YEAR;SCENARIO;TECHNOLOGIE;powerCosts;capacityCosts;Prod;elecUse;gasUse;carbon;prodPercent;elecPercent;gasPercent;importElec;TURPE;capexElec;importGas;storageElec;storageH2;pipelineH2;importH2
2020;scenario4_tdemi;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario4_tdemi;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario4_tdouble;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario4_tdouble;AEL;0;96390407,63;4599000;7032813,034;0;5695470,886;1;1;0;46243319,62;42674036,67;271396949,3;0;0;18374676,05;49844934,31;5802892,124
2020;scenario4_tdouble;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario4_tdouble;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;capacityCosts;carbon;importElec;TURPE;capexElec;storageH2;pipelineH2;importH2;;;Prod;€/kg;;;;
;;;;142051327;4460839,299;98908866,57;64445207,08;28648476,31;10970407,64;0;188011160,4;537496284,3;;4599000;3,895747513;;;;
;;;;108583645,8;4456074,529;40518875,62;36105021,99;233953667,5;9899764,559;0;77188306,6;510705356,6;;4599000;3,701568142;;;;
;;;;116627845,5;3960005,137;31653140,71;26024035,42;237056716,5;10157101,38;49844934,31;64487240,78;539811019,7;;4599000;3,912524605;;;;
;;;;98436898,06;7517446,726;56293648,7;33912771,87;242733101,6;20069439,61;49844934,31;4626483,84;513434724,7;;4599000;3,721350473;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;fix;var;pipe;;;;;;;;;;;;;
;;;;0,19;0,81;0;;;0,467095797;11,98988885;;;;;;;;;
;;;;0,81;0,19;0;;;0,261687483;7,069638398;;;;;;;;;
;;;;0,12;0,22;0,65;;;0,549894685;14,05472785;;;;;;;;;
;;;;0,09;0,31;0,59;;;0,607071872;16,31321415;;;;;;;;;
