,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
522,France,2030,OldNuke,electrolysis_AEL,0.0
523,France,2030,OldNuke,IntercoOut,0.0
524,France,2030,OldNuke,IntercoIn,0.0
525,France,2030,OldNuke,Solar,0.0
526,France,2030,OldNuke,Coal_p,0.0
527,France,2030,OldNuke,TAC_H2,0.0
528,France,2030,curtailment,OldNuke,0.0
529,France,2030,curtailment,curtailment,0.0
530,France,2030,curtailment,HydroRiver,0.0
531,France,2030,curtailment,HydroReservoir,0.0
532,France,2030,curtailment,CCG_H2,0.0
533,France,2030,curtailment,TAC,0.0
534,France,2030,curtailment,NewNuke,0.0
535,France,2030,curtailment,CCG,0.0
536,France,2030,curtailment,WindOffShore,0.0
537,France,2030,curtailment,WindOnShore,0.0
538,France,2030,curtailment,electrolysis_AEL,0.0
539,France,2030,curtailment,IntercoOut,0.0
540,France,2030,curtailment,IntercoIn,0.0
541,France,2030,curtailment,Solar,0.0
542,France,2030,curtailment,Coal_p,0.0
543,France,2030,curtailment,TAC_H2,0.0
544,France,2030,HydroRiver,OldNuke,0.0
545,France,2030,HydroRiver,curtailment,0.0
546,France,2030,HydroRiver,HydroRiver,0.0
547,France,2030,HydroRiver,HydroReservoir,0.0
548,France,2030,HydroRiver,CCG_H2,0.0
549,France,2030,HydroRiver,TAC,0.0
550,France,2030,HydroRiver,NewNuke,0.0
551,France,2030,HydroRiver,CCG,0.0
552,France,2030,HydroRiver,WindOffShore,0.0
553,France,2030,HydroRiver,WindOnShore,0.0
554,France,2030,HydroRiver,electrolysis_AEL,0.0
555,France,2030,HydroRiver,IntercoOut,0.0
556,France,2030,HydroRiver,IntercoIn,0.0
557,France,2030,HydroRiver,Solar,0.0
558,France,2030,HydroRiver,Coal_p,0.0
559,France,2030,HydroRiver,TAC_H2,0.0
560,France,2030,HydroReservoir,OldNuke,0.0
561,France,2030,HydroReservoir,curtailment,0.0
562,France,2030,HydroReservoir,HydroRiver,0.0
563,France,2030,HydroReservoir,HydroReservoir,0.0
564,France,2030,HydroReservoir,CCG_H2,0.0
565,France,2030,HydroReservoir,TAC,0.0
566,France,2030,HydroReservoir,NewNuke,0.0
567,France,2030,HydroReservoir,CCG,0.0
568,France,2030,HydroReservoir,WindOffShore,0.0
569,France,2030,HydroReservoir,WindOnShore,0.0
570,France,2030,HydroReservoir,electrolysis_AEL,0.0
571,France,2030,HydroReservoir,IntercoOut,0.0
572,France,2030,HydroReservoir,IntercoIn,0.0
573,France,2030,HydroReservoir,Solar,0.0
574,France,2030,HydroReservoir,Coal_p,0.0
575,France,2030,HydroReservoir,TAC_H2,0.0
576,France,2030,CCG_H2,OldNuke,0.0
577,France,2030,CCG_H2,curtailment,0.0
578,France,2030,CCG_H2,HydroRiver,0.0
579,France,2030,CCG_H2,HydroReservoir,0.0
580,France,2030,CCG_H2,CCG_H2,0.0
