TIMESTAMP,HTB,Calendrier
864,5.7,HCH
865,5.7,HCH
866,5.7,HCH
867,5.7,HCH
868,5.7,HCH
869,5.7,HCH
870,5.7,HCH
871,5.7,HCH
872,8.3,HPH
873,8.3,HPH
874,10.3,P
875,10.3,P
876,8.3,HPH
877,8.3,HPH
878,8.3,HPH
879,8.3,HPH
880,8.3,HPH
881,8.3,HPH
882,8.3,HPH
883,10.3,P
884,10.3,P
885,8.3,HPH
886,8.3,HPH
887,8.3,HPH
888,5.7,HCH
889,5.7,HCH
890,5.7,HCH
891,5.7,HCH
892,5.7,HCH
893,5.7,HCH
894,5.7,HCH
895,5.7,HCH
896,8.3,HPH
897,8.3,HPH
898,10.3,P
899,10.3,P
900,8.3,HPH
901,8.3,HPH
902,8.3,HPH
903,8.3,HPH
904,8.3,HPH
905,8.3,HPH
906,8.3,HPH
907,10.3,P
908,10.3,P
909,8.3,HPH
910,8.3,HPH
911,8.3,HPH
912,5.7,HCH
913,5.7,HCH
914,5.7,HCH
915,5.7,HCH
916,5.7,HCH
917,5.7,HCH
918,5.7,HCH
919,5.7,HCH
920,8.3,HPH
921,8.3,HPH
922,10.3,P
923,10.3,P
924,8.3,HPH
925,8.3,HPH
926,8.3,HPH
927,8.3,HPH
928,8.3,HPH
929,8.3,HPH
930,8.3,HPH
931,10.3,P
932,10.3,P
933,8.3,HPH
934,8.3,HPH
935,8.3,HPH
936,5.7,HCH
937,5.7,HCH
938,5.7,HCH
939,5.7,HCH
940,5.7,HCH
941,5.7,HCH
942,5.7,HCH
943,5.7,HCH
944,8.3,HPH
945,8.3,HPH
946,10.3,P
947,10.3,P
948,8.3,HPH
949,8.3,HPH
950,8.3,HPH
951,8.3,HPH
952,8.3,HPH
953,8.3,HPH
954,8.3,HPH
955,10.3,P
956,10.3,P
957,8.3,HPH
958,8.3,HPH
959,8.3,HPH
960,5.7,HCH
961,5.7,HCH
962,5.7,HCH
963,5.7,HCH
964,5.7,HCH
965,5.7,HCH
966,5.7,HCH
967,5.7,HCH
968,8.3,HPH
969,8.3,HPH
970,10.3,P
971,10.3,P
972,8.3,HPH
973,8.3,HPH
974,8.3,HPH
975,8.3,HPH
976,8.3,HPH
977,8.3,HPH
978,8.3,HPH
979,10.3,P
980,10.3,P
981,8.3,HPH
982,8.3,HPH
983,8.3,HPH
984,5.7,HCH
985,5.7,HCH
986,5.7,HCH
987,5.7,HCH
988,5.7,HCH
989,5.7,HCH
990,5.7,HCH
991,5.7,HCH
992,8.3,HPH
993,8.3,HPH
994,10.3,P
995,10.3,P
996,8.3,HPH
997,8.3,HPH
998,8.3,HPH
999,8.3,HPH
1000,8.3,HPH
1001,8.3,HPH
1002,8.3,HPH
1003,10.3,P
1004,10.3,P
1005,8.3,HPH
1006,8.3,HPH
1007,8.3,HPH
1008,5.7,HCH
1009,5.7,HCH
1010,5.7,HCH
1011,5.7,HCH
1012,5.7,HCH
1013,5.7,HCH
1014,5.7,HCH
1015,5.7,HCH
1016,8.3,HPH
1017,8.3,HPH
1018,10.3,P
1019,10.3,P
1020,8.3,HPH
1021,8.3,HPH
1022,8.3,HPH
1023,8.3,HPH
1024,8.3,HPH
1025,8.3,HPH
1026,8.3,HPH
1027,10.3,P
1028,10.3,P
1029,8.3,HPH
1030,8.3,HPH
1031,8.3,HPH
1032,5.7,HCH
1033,5.7,HCH
1034,5.7,HCH
1035,5.7,HCH
1036,5.7,HCH
1037,5.7,HCH
1038,5.7,HCH
1039,5.7,HCH
1040,8.3,HPH
1041,8.3,HPH
1042,10.3,P
1043,10.3,P
1044,8.3,HPH
1045,8.3,HPH
1046,8.3,HPH
1047,8.3,HPH
1048,8.3,HPH
1049,8.3,HPH
1050,8.3,HPH
1051,10.3,P
1052,10.3,P
1053,8.3,HPH
1054,8.3,HPH
1055,8.3,HPH
1056,5.7,HCH
1057,5.7,HCH
1058,5.7,HCH
1059,5.7,HCH
1060,5.7,HCH
1061,5.7,HCH
1062,5.7,HCH
1063,5.7,HCH
1064,8.3,HPH
1065,8.3,HPH
1066,10.3,P
1067,10.3,P
1068,8.3,HPH
1069,8.3,HPH
1070,8.3,HPH
1071,8.3,HPH
1072,8.3,HPH
1073,8.3,HPH
1074,8.3,HPH
1075,10.3,P
1076,10.3,P
1077,8.3,HPH
1078,8.3,HPH
1079,8.3,HPH
1080,5.7,HCH
1081,5.7,HCH
1082,5.7,HCH
1083,5.7,HCH
1084,5.7,HCH
1085,5.7,HCH
1086,5.7,HCH
1087,5.7,HCH
1088,8.3,HPH
1089,8.3,HPH
1090,10.3,P
1091,10.3,P
1092,8.3,HPH
1093,8.3,HPH
1094,8.3,HPH
1095,8.3,HPH
1096,8.3,HPH
1097,8.3,HPH
1098,8.3,HPH
1099,10.3,P
1100,10.3,P
1101,8.3,HPH
1102,8.3,HPH
1103,8.3,HPH
1104,5.7,HCH
1105,5.7,HCH
1106,5.7,HCH
1107,5.7,HCH
1108,5.7,HCH
1109,5.7,HCH
1110,5.7,HCH
1111,5.7,HCH
1112,8.3,HPH
1113,8.3,HPH
1114,10.3,P
1115,10.3,P
1116,8.3,HPH
1117,8.3,HPH
1118,8.3,HPH
1119,8.3,HPH
1120,8.3,HPH
1121,8.3,HPH
1122,8.3,HPH
1123,10.3,P
1124,10.3,P
1125,8.3,HPH
1126,8.3,HPH
1127,8.3,HPH
1128,5.7,HCH
1129,5.7,HCH
1130,5.7,HCH
1131,5.7,HCH
1132,5.7,HCH
1133,5.7,HCH
1134,5.7,HCH
1135,5.7,HCH
1136,8.3,HPH
1137,8.3,HPH
1138,10.3,P
1139,10.3,P
1140,8.3,HPH
1141,8.3,HPH
1142,8.3,HPH
1143,8.3,HPH
1144,8.3,HPH
1145,8.3,HPH
1146,8.3,HPH
1147,10.3,P
1148,10.3,P
1149,8.3,HPH
1150,8.3,HPH
1151,8.3,HPH
1152,5.7,HCH
1153,5.7,HCH
1154,5.7,HCH
1155,5.7,HCH
1156,5.7,HCH
1157,5.7,HCH
1158,5.7,HCH
1159,5.7,HCH
1160,8.3,HPH
1161,8.3,HPH
1162,10.3,P
1163,10.3,P
1164,8.3,HPH
1165,8.3,HPH
1166,8.3,HPH
1167,8.3,HPH
1168,8.3,HPH
1169,8.3,HPH
1170,8.3,HPH
1171,10.3,P
1172,10.3,P
1173,8.3,HPH
1174,8.3,HPH
1175,8.3,HPH
1176,5.7,HCH
1177,5.7,HCH
1178,5.7,HCH
1179,5.7,HCH
1180,5.7,HCH
1181,5.7,HCH
1182,5.7,HCH
1183,5.7,HCH
1184,8.3,HPH
1185,8.3,HPH
1186,10.3,P
1187,10.3,P
1188,8.3,HPH
1189,8.3,HPH
1190,8.3,HPH
1191,8.3,HPH
1192,8.3,HPH
1193,8.3,HPH
1194,8.3,HPH
1195,10.3,P
1196,10.3,P
1197,8.3,HPH
1198,8.3,HPH
1199,8.3,HPH
1200,5.7,HCH
1201,5.7,HCH
1202,5.7,HCH
1203,5.7,HCH
1204,5.7,HCH
1205,5.7,HCH
1206,5.7,HCH
