TIMESTAMP,RESOURCES,importCost,emission
876,gazNat,19.16,203.5
877,gazNat,19.16,203.5
878,gazNat,19.16,203.5
879,gazNat,19.16,203.5
880,gazNat,19.16,203.5
881,gazNat,19.16,203.5
882,gazNat,19.16,203.5
883,gazNat,19.16,203.5
884,gazNat,19.16,203.5
885,gazNat,19.16,203.5
886,gazNat,19.16,203.5
887,gazNat,19.16,203.5
888,gazNat,19.16,203.5
889,gazNat,19.16,203.5
890,gazNat,19.16,203.5
891,gazNat,19.16,203.5
892,gazNat,19.16,203.5
893,gazNat,19.16,203.5
894,gazNat,19.16,203.5
895,gazNat,19.16,203.5
896,gazNat,19.16,203.5
897,gazNat,19.16,203.5
898,gazNat,19.16,203.5
899,gazNat,19.16,203.5
900,gazNat,19.16,203.5
901,gazNat,19.16,203.5
902,gazNat,19.16,203.5
903,gazNat,19.16,203.5
904,gazNat,19.16,203.5
905,gazNat,19.16,203.5
906,gazNat,19.16,203.5
907,gazNat,19.16,203.5
908,gazNat,19.16,203.5
909,gazNat,19.16,203.5
910,gazNat,19.16,203.5
911,gazNat,19.16,203.5
912,gazNat,19.16,203.5
913,gazNat,19.16,203.5
914,gazNat,17.98,203.5
915,gazNat,17.98,203.5
916,gazNat,17.98,203.5
917,gazNat,17.98,203.5
918,gazNat,17.98,203.5
919,gazNat,17.98,203.5
920,gazNat,17.98,203.5
921,gazNat,17.98,203.5
922,gazNat,17.98,203.5
923,gazNat,17.98,203.5
924,gazNat,17.98,203.5
925,gazNat,17.98,203.5
926,gazNat,17.98,203.5
927,gazNat,17.98,203.5
