TIMESTAMP,RESOURCES,areaConsumption
1090,electricity,77153
1091,electricity,75191
1092,electricity,72801
1093,electricity,70905
1094,electricity,68648
1095,electricity,65334
1096,electricity,62106
1097,electricity,59884
1098,electricity,59276
1099,electricity,63120
1100,electricity,69171
1101,electricity,67579
1102,electricity,64693
1103,electricity,63444
1104,electricity,66428
1105,electricity,65258
1106,electricity,61707
1107,electricity,60920
1108,electricity,58599
1109,electricity,57054
1110,electricity,57407
1111,electricity,59431
1112,electricity,62141
1113,electricity,64105
1114,electricity,66171
1115,electricity,65834
1116,electricity,64085
1117,electricity,63241
1118,electricity,61589
1119,electricity,57682
1120,electricity,54529
1121,electricity,52459
1122,electricity,52152
1123,electricity,56182
1124,electricity,62675
1125,electricity,61669
1126,electricity,59400
1127,electricity,58632
1128,electricity,62135
1129,electricity,61610
1130,electricity,58454
1131,electricity,57561
1132,electricity,55074
1133,electricity,53265
1134,electricity,53177
1135,electricity,54359
1136,electricity,55908
1137,electricity,56937
1138,electricity,58987
1139,electricity,59553
1140,electricity,58854
1141,electricity,58673
1142,electricity,57353
1143,electricity,53286
1144,electricity,50370
1145,electricity,48617
1146,electricity,48676
1147,electricity,53241
1148,electricity,60684
1149,electricity,60434
1150,electricity,58636
1151,electricity,57637
1152,electricity,60518
1153,electricity,59895
1154,electricity,57005
1155,electricity,56352
1156,electricity,54235
1157,electricity,53358
1158,electricity,55366
1159,electricity,60491
1160,electricity,66782
1161,electricity,69818
1162,electricity,70719
1163,electricity,69733
1164,electricity,68458
1165,electricity,67797
1166,electricity,66436
1167,electricity,64389
1168,electricity,61746
1169,electricity,60327
1170,electricity,60067
1171,electricity,63617
1172,electricity,69906
1173,electricity,67651
1174,electricity,63834
1175,electricity,61982
1176,electricity,64244
1177,electricity,63017
1178,electricity,59527
1179,electricity,58769
1180,electricity,56306
1181,electricity,55122
1182,electricity,56654
1183,electricity,61320
1184,electricity,67405
1185,electricity,70351
1186,electricity,71419
1187,electricity,71181
1188,electricity,70444
1189,electricity,70079
1190,electricity,68490
1191,electricity,66097
1192,electricity,63279
1193,electricity,61830
1194,electricity,61252
1195,electricity,64499
1196,electricity,71366
1197,electricity,69163
1198,electricity,65519
1199,electricity,63550
1200,electricity,66119
1201,electricity,64962
1202,electricity,61599
1203,electricity,60950
1204,electricity,58785
1205,electricity,57801
1206,electricity,59234
1207,electricity,64070
1208,electricity,70159
1209,electricity,73319
1210,electricity,74255
1211,electricity,73161
1212,electricity,71538
1213,electricity,70328
1214,electricity,68170
1215,electricity,65505
1216,electricity,62698
1217,electricity,60739
1218,electricity,60221
1219,electricity,63477
1220,electricity,70552
1221,electricity,68486
1222,electricity,64885
1223,electricity,62897
1224,electricity,65372
1225,electricity,64459
1226,electricity,60985
1227,electricity,60320
1228,electricity,58175
1229,electricity,56834
1230,electricity,58452
1231,electricity,63241
1232,electricity,69362
1233,electricity,72212
1234,electricity,72900
1235,electricity,71487
1236,electricity,69864
1237,electricity,68659
1238,electricity,66787
1239,electricity,64077
1240,electricity,61208
1241,electricity,59470
1242,electricity,58722
1243,electricity,61869
1244,electricity,68866
1245,electricity,67056
1246,electricity,63657
1247,electricity,61856
1248,electricity,64313
1249,electricity,63246
1250,electricity,59808
1251,electricity,59324
1252,electricity,57106
1253,electricity,55874
1254,electricity,57423
1255,electricity,62080
1256,electricity,68015
1257,electricity,70833
1258,electricity,71508
1259,electricity,69915
1260,electricity,67930
1261,electricity,66537
1262,electricity,64526
1263,electricity,61614
1264,electricity,58649
1265,electricity,56542
1266,electricity,55628
1267,electricity,58296
1268,electricity,64498
1269,electricity,62965
1270,electricity,59810
1271,electricity,58453
1272,electricity,61000
1273,electricity,59978
1274,electricity,56292
1275,electricity,55133
1276,electricity,52532
1277,electricity,50893
1278,electricity,51148
1279,electricity,53141
1280,electricity,55626
1281,electricity,57483
