TIMESTAMP,TECHNOLOGIES,availabilityFactor
830,OldNuke,0.8852
831,OldNuke,0.8851
832,OldNuke,0.8847
833,OldNuke,0.8849
834,OldNuke,0.8851
835,OldNuke,0.8852
836,OldNuke,0.8852
837,OldNuke,0.8851
838,OldNuke,0.8852
839,OldNuke,0.8829
840,OldNuke,0.8839
841,OldNuke,0.8848
842,OldNuke,0.8837
843,OldNuke,0.8825
844,OldNuke,0.8786
845,OldNuke,0.8767
846,OldNuke,0.8787
847,OldNuke,0.8784
848,OldNuke,0.8812
849,OldNuke,0.8704
850,OldNuke,0.8709
851,OldNuke,0.8717
852,OldNuke,0.8713
853,OldNuke,0.8703
854,OldNuke,0.8691
855,OldNuke,0.8681
856,OldNuke,0.8677
857,OldNuke,0.8693
858,OldNuke,0.869
859,OldNuke,0.8689
860,OldNuke,0.8692
861,OldNuke,0.8699
862,OldNuke,0.8676
863,OldNuke,0.8719
864,OldNuke,0.8791
865,OldNuke,0.8796
866,OldNuke,0.8737
867,OldNuke,0.8721
868,OldNuke,0.8713
869,OldNuke,0.8724
870,OldNuke,0.8746
871,OldNuke,0.8769
872,OldNuke,0.882
873,OldNuke,0.883
874,OldNuke,0.8822
875,OldNuke,0.8816
876,OldNuke,0.8818
877,OldNuke,0.8801
878,OldNuke,0.8795
879,OldNuke,0.8792
880,OldNuke,0.8777
881,OldNuke,0.8771
882,OldNuke,0.8803
883,OldNuke,0.8801
884,OldNuke,0.8796
885,OldNuke,0.8789
886,OldNuke,0.8763
887,OldNuke,0.8735
888,OldNuke,0.8733
889,OldNuke,0.8709
890,OldNuke,0.8669
891,OldNuke,0.8662
892,OldNuke,0.8661
893,OldNuke,0.8625
894,OldNuke,0.8686
895,OldNuke,0.8731
896,OldNuke,0.8792
897,OldNuke,0.8785
898,OldNuke,0.8788
899,OldNuke,0.8789
900,OldNuke,0.8755
901,OldNuke,0.8743
902,OldNuke,0.8728
903,OldNuke,0.8692
904,OldNuke,0.8698
905,OldNuke,0.8715
906,OldNuke,0.8715
907,OldNuke,0.872
908,OldNuke,0.8741
909,OldNuke,0.8778
910,OldNuke,0.876
911,OldNuke,0.8753
912,OldNuke,0.8731
913,OldNuke,0.8657
914,OldNuke,0.8644
915,OldNuke,0.8722
916,OldNuke,0.8634
917,OldNuke,0.8607
918,OldNuke,0.8621
919,OldNuke,0.8684
920,OldNuke,0.8783
921,OldNuke,0.8787
922,OldNuke,0.8797
923,OldNuke,0.8788
924,OldNuke,0.8738
925,OldNuke,0.872
926,OldNuke,0.8689
927,OldNuke,0.8688
928,OldNuke,0.8716
929,OldNuke,0.8729
930,OldNuke,0.8753
931,OldNuke,0.8739
932,OldNuke,0.8747
933,OldNuke,0.8738
934,OldNuke,0.8753
935,OldNuke,0.8661
936,OldNuke,0.8601
937,OldNuke,0.8479
938,OldNuke,0.8146
939,OldNuke,0.8087
940,OldNuke,0.786
941,OldNuke,0.7822
942,OldNuke,0.7836
943,OldNuke,0.7899
944,OldNuke,0.7974
945,OldNuke,0.8201
946,OldNuke,0.8443
947,OldNuke,0.8405
948,OldNuke,0.8465
