,AREA,YEAR_op,TIMESTAMP,STOCK_TECHNO,stockLevel_Pvar
346,France,2020,174,saltCavernH2_G,0.0
347,France,2020,174,Battery,0.0
348,France,2020,175,saltCavernH2_G,0.0
349,France,2020,175,Battery,0.0
350,France,2020,176,saltCavernH2_G,0.0
351,France,2020,176,Battery,0.0
352,France,2020,177,saltCavernH2_G,0.0
353,France,2020,177,Battery,0.0
354,France,2020,178,saltCavernH2_G,0.0
355,France,2020,178,Battery,0.0
356,France,2020,179,saltCavernH2_G,0.0
357,France,2020,179,Battery,0.0
358,France,2020,180,saltCavernH2_G,0.0
359,France,2020,180,Battery,0.0
360,France,2020,181,saltCavernH2_G,0.0
361,France,2020,181,Battery,0.0
362,France,2020,182,saltCavernH2_G,0.0
363,France,2020,182,Battery,0.0
364,France,2020,183,saltCavernH2_G,0.0
365,France,2020,183,Battery,0.0
366,France,2020,184,saltCavernH2_G,0.0
367,France,2020,184,Battery,0.0
368,France,2020,185,saltCavernH2_G,0.0
369,France,2020,185,Battery,0.0
370,France,2020,186,saltCavernH2_G,0.0
371,France,2020,186,Battery,0.0
372,France,2020,187,saltCavernH2_G,0.0
373,France,2020,187,Battery,0.0
374,France,2020,188,saltCavernH2_G,0.0
375,France,2020,188,Battery,0.0
376,France,2020,189,saltCavernH2_G,0.0
377,France,2020,189,Battery,0.0
378,France,2020,190,saltCavernH2_G,0.0
379,France,2020,190,Battery,0.0
380,France,2020,191,saltCavernH2_G,0.0
381,France,2020,191,Battery,0.0
382,France,2020,192,saltCavernH2_G,0.0
383,France,2020,192,Battery,0.0
384,France,2020,193,saltCavernH2_G,0.0
385,France,2020,193,Battery,0.0
386,France,2020,194,saltCavernH2_G,0.0
387,France,2020,194,Battery,0.0
388,France,2020,195,saltCavernH2_G,0.0
389,France,2020,195,Battery,0.0
390,France,2020,196,saltCavernH2_G,0.0
391,France,2020,196,Battery,0.0
392,France,2020,197,saltCavernH2_G,0.0
393,France,2020,197,Battery,0.0
394,France,2020,198,saltCavernH2_G,0.0
395,France,2020,198,Battery,0.0
396,France,2020,199,saltCavernH2_G,0.0
397,France,2020,199,Battery,0.0
398,France,2020,200,saltCavernH2_G,0.0
399,France,2020,200,Battery,0.0
400,France,2020,201,saltCavernH2_G,0.0
401,France,2020,201,Battery,0.0
402,France,2020,202,saltCavernH2_G,0.0
403,France,2020,202,Battery,0.0
404,France,2020,203,saltCavernH2_G,0.0
405,France,2020,203,Battery,0.0
406,France,2020,204,saltCavernH2_G,0.0
407,France,2020,204,Battery,0.0
408,France,2020,205,saltCavernH2_G,0.0
409,France,2020,205,Battery,0.0
410,France,2020,206,saltCavernH2_G,0.0
411,France,2020,206,Battery,0.0
412,France,2020,207,saltCavernH2_G,0.0
413,France,2020,207,Battery,0.0
414,France,2020,208,saltCavernH2_G,0.0
415,France,2020,208,Battery,0.0
416,France,2020,209,saltCavernH2_G,0.0
417,France,2020,209,Battery,0.0
418,France,2020,210,saltCavernH2_G,0.0
419,France,2020,210,Battery,0.0
420,France,2020,211,saltCavernH2_G,0.0
421,France,2020,211,Battery,0.0
422,France,2020,212,saltCavernH2_G,0.0
423,France,2020,212,Battery,0.0
424,France,2020,213,saltCavernH2_G,0.0
425,France,2020,213,Battery,0.0
426,France,2020,214,saltCavernH2_G,0.0
427,France,2020,214,Battery,0.0
428,France,2020,215,saltCavernH2_G,0.0
429,France,2020,215,Battery,0.0
430,France,2020,216,saltCavernH2_G,0.0
431,France,2020,216,Battery,0.0
432,France,2020,217,saltCavernH2_G,0.0
433,France,2020,217,Battery,0.0
434,France,2020,218,saltCavernH2_G,0.0
435,France,2020,218,Battery,0.0
436,France,2020,219,saltCavernH2_G,0.0
437,France,2020,219,Battery,0.0
438,France,2020,220,saltCavernH2_G,0.0
439,France,2020,220,Battery,0.0
440,France,2020,221,saltCavernH2_G,0.0
441,France,2020,221,Battery,0.0
442,France,2020,222,saltCavernH2_G,0.0
443,France,2020,222,Battery,0.0
444,France,2020,223,saltCavernH2_G,0.0
445,France,2020,223,Battery,0.0
446,France,2020,224,saltCavernH2_G,0.0
447,France,2020,224,Battery,0.0
448,France,2020,225,saltCavernH2_G,0.0
449,France,2020,225,Battery,0.0
450,France,2020,226,saltCavernH2_G,0.0
451,France,2020,226,Battery,0.0
452,France,2020,227,saltCavernH2_G,0.0
453,France,2020,227,Battery,0.0
